CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
StrOutPort,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
StrOutPort,generatedAtTime,dateTime,,The time this entity was created and available for use
StrOutPort,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
StrOutPort,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
StrOutPort,title,string,,"A short, human-readable identifying label."
StrOutPort,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
StrOutPort,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
StrOutPort,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
StrOutPort,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
StrOutPort,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
StrPort,,,,The communication interface of a concrete software component.
StrPort,portType,string,,The type of information communicated over this port
StrPort,variableName,string,,Concrete variable name
StrPort,definedIn,FILE,,The file an ENTITY is defined or contained in
StrPort,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
StrPort,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
StrPort,generatedAtTime,dateTime,,The time this entity was created and available for use
StrPort,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
StrPort,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
StrPort,title,string,,"A short, human-readable identifying label."
StrPort,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
StrPort,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
StrPort,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
StrPort,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
StrPort,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
StrSystem,,,,A component of the logical system with a concept of sequencing dependency
StrSystem,informs,StrSystem,,"Informs represents a control or sequencing dependency in the software, with the source of the relationship earlier in the sequence than the target, or alternatively the source activating the target."
StrSystem,definedIn,FILE,,The file an ENTITY is defined or contained in
StrSystem,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
StrSystem,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
StrSystem,generatedAtTime,dateTime,,The time this entity was created and available for use
StrSystem,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
StrSystem,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
StrSystem,title,string,,"A short, human-readable identifying label."
StrSystem,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
StrSystem,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
StrSystem,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
StrSystem,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
StrSystem,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
StrSystem,function,FUNCTION,,functionality / capability of a SYSTEM
StrSystem,partOf,SYSTEM,,Used to define a relationship to a higher level system
StrSystem,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
StrSystem,provides,FUNCTION,,List of entities that this SYSTEM provides to others
StrSystem,requires,FUNCTION,,List of entities that this SYSTEM requires from others
ORGANIZATION,,,,"An organization is a social or legal institution such as a company, society, etc."
ORGANIZATION,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
ORGANIZATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ORGANIZATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ORGANIZATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ORGANIZATION,title,string,,"A short, human-readable identifying label."
PERSON,,,,Person agents are people - alias for User
PERSON,emailAddress,string,,Email address of person
PERSON,employedBy,AGENT,,Relates people to the company they were acting on behalf of.
PERSON,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
PERSON,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PERSON,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PERSON,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PERSON,title,string,,"A short, human-readable identifying label."
TOOL,,,,"An aid (software, hardware, etc) that automates the performance of an activity."
TOOL,toolVersion,string,,The release version of the tool
TOOL,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
TOOL,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TOOL,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TOOL,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TOOL,title,string,,"A short, human-readable identifying label."
ANALYSIS,,,,"ACTIVITY of running some analysis, and as a result creating some ANALYSIS_REPORT"
ANALYSIS,performedBy,AGENT,,"Entity that is responsible for producing an analysis, could be a person or a tool. "
ANALYSIS,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS,endedAtTime,dateTime,,The time an activity was ended
ANALYSIS,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS,startedAtTime,dateTime,,The time an activity was started
ANALYSIS,title,string,,"A short, human-readable identifying label."
ANALYSIS,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ANALYSIS,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ANALYSIS,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
ANALYSIS_ANNOTATION,,,,A result of the analysis that is linked to some specific part of the system.
ANALYSIS_ANNOTATION,annotationType,ANALYSIS_ANNOTATION_TYPE,,The type of the annotation.
ANALYSIS_ANNOTATION,fromReport,ANALYSIS_OUTPUT,,Which analysis report this annotation comes from.
ANALYSIS_ANNOTATION,definedIn,FILE,,The file an ENTITY is defined or contained in
ANALYSIS_ANNOTATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_ANNOTATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_ANNOTATION,generatedAtTime,dateTime,,The time this entity was created and available for use
ANALYSIS_ANNOTATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_ANNOTATION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ANALYSIS_ANNOTATION,title,string,,"A short, human-readable identifying label."
ANALYSIS_ANNOTATION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ANALYSIS_ANNOTATION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ANALYSIS_ANNOTATION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ANALYSIS_ANNOTATION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ANALYSIS_ANNOTATION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ANALYSIS_ANNOTATION_TYPE,,,,An open/extensible set of types of analysis annotations
ANALYSIS_ANNOTATION_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_ANNOTATION_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_ANNOTATION_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_ANNOTATION_TYPE,title,string,,"A short, human-readable identifying label."
ANALYSIS_OUTPUT,,,,Output of an ANALYSIS
ANALYSIS_OUTPUT,analyzes,ENTITY,,ENTITY(s) under analysis
ANALYSIS_OUTPUT,metric,float,,provides a numerical result value from the analysis that was performed
ANALYSIS_OUTPUT,producedBy,ACTIVITY,,ACTIVITY(s) (e.g. ANALYSIS) producing this report
ANALYSIS_OUTPUT,result,ANALYSIS_RESULT,,Passed/Failed/Indeterminate status of this report
ANALYSIS_OUTPUT,definedIn,FILE,,The file an ENTITY is defined or contained in
ANALYSIS_OUTPUT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_OUTPUT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_OUTPUT,generatedAtTime,dateTime,,The time this entity was created and available for use
ANALYSIS_OUTPUT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_OUTPUT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ANALYSIS_OUTPUT,title,string,,"A short, human-readable identifying label."
ANALYSIS_OUTPUT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ANALYSIS_OUTPUT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ANALYSIS_OUTPUT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ANALYSIS_OUTPUT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ANALYSIS_OUTPUT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ANALYSIS_RESULT,,"enumeration: [http://arcos.rack/ANALYSIS#Passed, http://arcos.rack/ANALYSIS#Failed, http://arcos.rack/ANALYSIS#Indeterminate]",,Outcome of an analysis
ANALYSIS_RESULT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_RESULT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_RESULT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_RESULT,title,string,,"A short, human-readable identifying label."
ASSESSING_CONFIDENCE,,,,ACTIVITY that establishes a CONFIDENCE_ASSESSMENT
ASSESSING_CONFIDENCE,performedBy,AGENT,,"ENTITY responsible for producing the assessment, could be a person or a tool"
ASSESSING_CONFIDENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSESSING_CONFIDENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSESSING_CONFIDENCE,endedAtTime,dateTime,,The time an activity was ended
ASSESSING_CONFIDENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSESSING_CONFIDENCE,startedAtTime,dateTime,,The time an activity was started
ASSESSING_CONFIDENCE,title,string,,"A short, human-readable identifying label."
ASSESSING_CONFIDENCE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ASSESSING_CONFIDENCE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ASSESSING_CONFIDENCE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
BDU_CONFIDENCE_ASSESSMENT,,,,"A belief-disbelief-uncertainty confidence assessment, c.f. Subjective Logic. belief, disbelief, and uncertainty should sum to 1"
BDU_CONFIDENCE_ASSESSMENT,assesses,ENTITY,,ENTITY(s) whose confidence is assessed
BDU_CONFIDENCE_ASSESSMENT,belief,float,,belief that an assessment is true
BDU_CONFIDENCE_ASSESSMENT,createBy,ACTIVITY,,ACTIVITY(s) (e.g. ASSESSING_CONFIDENCE) that created this assessment.
BDU_CONFIDENCE_ASSESSMENT,disbelief,float,,belief that an assessment is false
BDU_CONFIDENCE_ASSESSMENT,uncertainty,float,,uncommitted belief
BDU_CONFIDENCE_ASSESSMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
BDU_CONFIDENCE_ASSESSMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
BDU_CONFIDENCE_ASSESSMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
BDU_CONFIDENCE_ASSESSMENT,title,string,,"A short, human-readable identifying label."
CONFIDENCE_ASSESSMENT,,,,Superclass for confidence assessments over some other data in the ontology.
CONFIDENCE_ASSESSMENT,assesses,ENTITY,,ENTITY(s) whose confidence is assessed
CONFIDENCE_ASSESSMENT,belief,float,,belief that an assessment is true
CONFIDENCE_ASSESSMENT,createBy,ACTIVITY,,ACTIVITY(s) (e.g. ASSESSING_CONFIDENCE) that created this assessment.
CONFIDENCE_ASSESSMENT,disbelief,float,,belief that an assessment is false
CONFIDENCE_ASSESSMENT,uncertainty,float,,uncommitted belief
CONFIDENCE_ASSESSMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CONFIDENCE_ASSESSMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CONFIDENCE_ASSESSMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CONFIDENCE_ASSESSMENT,title,string,,"A short, human-readable identifying label."
DESCRIPTION,,,,"A DESCRIPTION document represents a planned or actual concept, function, design or object."
DESCRIPTION,approvalAuthority,AGENT,,AGENT responsible for approving a document.
DESCRIPTION,dateOfIssue,date,,Release date for the document.
DESCRIPTION,issuingOrganization,AGENT,,AGENT responsible for producing a document.
DESCRIPTION,references,ENTITY,,Source Materials used in the development of a document.
DESCRIPTION,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
DESCRIPTION,versionNumber,string,,
DESCRIPTION,definedIn,FILE,,The file an ENTITY is defined or contained in
DESCRIPTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
DESCRIPTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DESCRIPTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DESCRIPTION,generatedAtTime,dateTime,,The time this entity was created and available for use
DESCRIPTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DESCRIPTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DESCRIPTION,title,string,,"A short, human-readable identifying label."
DESCRIPTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DESCRIPTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DESCRIPTION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DESCRIPTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DESCRIPTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DOCUMENT,,,,"A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record."
DOCUMENT,approvalAuthority,AGENT,,AGENT responsible for approving a document.
DOCUMENT,dateOfIssue,date,,Release date for the document.
DOCUMENT,issuingOrganization,AGENT,,AGENT responsible for producing a document.
DOCUMENT,references,ENTITY,,Source Materials used in the development of a document.
DOCUMENT,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
DOCUMENT,versionNumber,string,,
DOCUMENT,definedIn,FILE,,The file an ENTITY is defined or contained in
DOCUMENT,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
DOCUMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DOCUMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DOCUMENT,generatedAtTime,dateTime,,The time this entity was created and available for use
DOCUMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DOCUMENT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DOCUMENT,title,string,,"A short, human-readable identifying label."
DOCUMENT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DOCUMENT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DOCUMENT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DOCUMENT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DOCUMENT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DOC_STATUS,,"enumeration: [http://arcos.rack/DOCUMENT#In_Development, http://arcos.rack/DOCUMENT#Released, http://arcos.rack/DOCUMENT#Withdrawn]",,Life-cycle status of a document
DOC_STATUS,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DOC_STATUS,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DOC_STATUS,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DOC_STATUS,title,string,,"A short, human-readable identifying label."
PLAN,,,,"A PLAN presents a systematic course of action for achieving a declared purpose, including when, how, and by whom specified activities are to be performed. "
PLAN,approvalAuthority,AGENT,,AGENT responsible for approving a document.
PLAN,dateOfIssue,date,,Release date for the document.
PLAN,issuingOrganization,AGENT,,AGENT responsible for producing a document.
PLAN,references,ENTITY,,Source Materials used in the development of a document.
PLAN,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
PLAN,versionNumber,string,,
PLAN,definedIn,FILE,,The file an ENTITY is defined or contained in
PLAN,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
PLAN,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PLAN,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PLAN,generatedAtTime,dateTime,,The time this entity was created and available for use
PLAN,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PLAN,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
PLAN,title,string,,"A short, human-readable identifying label."
PLAN,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
PLAN,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
PLAN,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
PLAN,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
PLAN,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
PROCEDURE,,,,"A PROCEDURE presents an ordered series of steps to perform a process, activity, or task"
PROCEDURE,approvalAuthority,AGENT,,AGENT responsible for approving a document.
PROCEDURE,dateOfIssue,date,,Release date for the document.
PROCEDURE,issuingOrganization,AGENT,,AGENT responsible for producing a document.
PROCEDURE,references,ENTITY,,Source Materials used in the development of a document.
PROCEDURE,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
PROCEDURE,versionNumber,string,,
PROCEDURE,definedIn,FILE,,The file an ENTITY is defined or contained in
PROCEDURE,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
PROCEDURE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PROCEDURE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PROCEDURE,generatedAtTime,dateTime,,The time this entity was created and available for use
PROCEDURE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PROCEDURE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
PROCEDURE,title,string,,"A short, human-readable identifying label."
PROCEDURE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
PROCEDURE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
PROCEDURE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
PROCEDURE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
PROCEDURE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REPORT,,,,"A REPORT describes the results of activities such as investigations, observations, assessments, or test."
REPORT,approvalAuthority,AGENT,,AGENT responsible for approving a document.
REPORT,dateOfIssue,date,,Release date for the document.
REPORT,issuingOrganization,AGENT,,AGENT responsible for producing a document.
REPORT,references,ENTITY,,Source Materials used in the development of a document.
REPORT,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
REPORT,versionNumber,string,,
REPORT,definedIn,FILE,,The file an ENTITY is defined or contained in
REPORT,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
REPORT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REPORT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REPORT,generatedAtTime,dateTime,,The time this entity was created and available for use
REPORT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REPORT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REPORT,title,string,,"A short, human-readable identifying label."
REPORT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REPORT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REPORT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
REPORT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REPORT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REQUEST,,,,A REQUEST initiates a defined course of action or changed to fulfill a need.
REQUEST,approvalAuthority,AGENT,,AGENT responsible for approving a document.
REQUEST,dateOfIssue,date,,Release date for the document.
REQUEST,issuingOrganization,AGENT,,AGENT responsible for producing a document.
REQUEST,references,ENTITY,,Source Materials used in the development of a document.
REQUEST,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
REQUEST,versionNumber,string,,
REQUEST,definedIn,FILE,,The file an ENTITY is defined or contained in
REQUEST,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
REQUEST,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUEST,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUEST,generatedAtTime,dateTime,,The time this entity was created and available for use
REQUEST,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUEST,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REQUEST,title,string,,"A short, human-readable identifying label."
REQUEST,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REQUEST,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REQUEST,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
REQUEST,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REQUEST,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SECTION,,,,A SECTION is generic grouping of ENTITYs with a document
SECTION,definedIn,FILE,,The file an ENTITY is defined or contained in
SECTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
SECTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SECTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SECTION,generatedAtTime,dateTime,,The time this entity was created and available for use
SECTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SECTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SECTION,title,string,,"A short, human-readable identifying label."
SECTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SECTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SECTION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SECTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SECTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SPECIFICATION,,,,"A SPECIFICATION identifies the requirements, design, behavior, or other expected characteristics of a system, service or process."
SPECIFICATION,approvalAuthority,AGENT,,AGENT responsible for approving a document.
SPECIFICATION,dateOfIssue,date,,Release date for the document.
SPECIFICATION,issuingOrganization,AGENT,,AGENT responsible for producing a document.
SPECIFICATION,references,ENTITY,,Source Materials used in the development of a document.
SPECIFICATION,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
SPECIFICATION,versionNumber,string,,
SPECIFICATION,definedIn,FILE,,The file an ENTITY is defined or contained in
SPECIFICATION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
SPECIFICATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SPECIFICATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SPECIFICATION,generatedAtTime,dateTime,,The time this entity was created and available for use
